Show Name	Keyword	minp	maxp	tag
Formal Ball Gown	formal ball gown	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Ball Gown
Formal Bridesmaid Dresses	formal bridesmaid dresses	0		Bridesmaid Dresses
Formal Dresses for Weddings	formal dresses for weddings	0		Bridesmaid Dresses
Formal Evening Gown	formal evening gown	0		Evening Dresses
Formal Evening Wear	formal evening wear	0		Evening Dresses
Formal Homecoming Dresses	formal homecoming dresses	0		Homecoming Dresses
Formal Mother of the Bride Dresses	formal mother of the bride dresses	0		Mother of the Bride Dresses
Formal Party Dress	formal party dress	0		Party Dresses
Formal Prom Dresses	formal prom dresses	0		Prom Dresses
Formal Wedding Gowns	formal wedding gowns	0		Bridal Gowns
Glam Prom Dresses	glam prom dresses	0		Prom Dresses;Glamorous
Gorgeous Prom Dresses	gorgeous prom dresses	0		Prom Dresses;Gorgeous
Hot Club Dresses	hot club dresses	0		Club Dresses;Sexy
Hot Clubbing Dresses	hot clubbing dresses	0		Club Dresses;Sexy
Hot Party Dresses	hot party dresses	0		Party Dresses;Sexy
Hot Prom Dresses	hot prom dresses	0		Prom Dresses;Sexy
Modest Bridal Dresses	modest bridal dresses	0		Bridal Gowns;Modest
Modest Bridesmaid Dress	modest bridesmaid dress	0		Bridesmaid Dresses;Modest
Modest Evening Dresses	modest evening dresses	0		Evening Dresses;Modest
Modest Formal Gowns	modest formal gowns	0		Cocktail Dresses;Evening Dresses;Graduation Dresses;Homecoming Dresses;Little Black Dresses;Party Dresses;Prom Dresses;Quinceanera Dresses;Sweet 16 Dresses;Modest
Modest Mother of the Bride Dresses	modest mother of the bride dresses	0		Mother of the Bride Dresses;Modest
Nice Club Dresses	nice club dresses	0		Club Dresses
Nice Evening Dresses	nice evening dresses	0		Evening Dresses
Nice Party Dresses	nice party dresses	0		Party Dresses
Nice Prom Dresses	nice prom dresses	0		Prom Dresses
Perfect Little Black Dress	perfect little black dress	0		Little Black Dresses
Perfect Prom Dress	perfect prom dress	0		Prom Dresses
Perfect Wedding Dresses	perfect wedding dresses	0		Bridal Gowns
Pretty Party Dresses	pretty party dresses	0		Party Dresses
Pretty Wedding Dresses	pretty wedding dresses	0		Bridal Gowns
Prom Dresses Formal Gowns	prom dresses formal gowns	0		Prom Dresses
Romantic Bridal Dresses	romantic bridal dresses	0		Bridal Gowns;Romantic
Romantic Bridal Gowns	romantic bridal gowns	0		Bridal Gowns;Romantic
Semi Formal Gowns	semi formal gowns	0		Cocktail Dresses
Semi Formal Wear	semi formal wear	0		Cocktail Dresses
Simple Bridal Dresses	simple bridal dresses	0		Bridal Gowns;Simple
Simple Bridal Gown	simple bridal gown	0		Bridal Gowns;Simple
Simple Bridal Gowns	simple bridal gowns	0		Bridal Gowns;Simple
Stunning Evening Dresses	stunning evening dresses	0		Evening Dresses
Stylish Bridesmaid Dresses	stylish bridesmaid dresses	0		Bridesmaid Dresses
the Perfect Little Black Dress	the perfect little black dress	0		Little Black Dresses
the Perfect Prom Dress	the perfect prom dress	0		Prom Dresses
the Perfect Wedding Dress	the perfect wedding dress	0		Bridal Gowns
Top Bridal Dresses	top bridal dresses	0		Bridal Gowns
Trendy Party Dresses	trendy party dresses	0		Party Dresses;Modern
Alice in Wonderland Sweet 16 Dress	alice in wonderland sweet 16 dress	0		Sweet 16 Dresses;Fairytale
Beautiful Cocktail Dresses	beautiful cocktail dresses	0		Cocktail Dresses
Beautiful Sweet 16 Dresses	beautiful sweet 16 dresses	0		Sweet 16 Dresses
Best Homecoming Dresses	best homecoming dresses	0		Homecoming Dresses
